Date,Adj Close,Close,High,Low,Open,Volume,Ticker,Company,Sector,Market Cap,Forward PE,EPS,Revenue,Net Income,Profit Margin,Return on Equity
2020-05-05,71.83202362060547,74.38999938964844,75.25,73.61499786376953,73.76499938964844,147751200,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-05-06,72.57312774658203,75.15750122070312,75.80999755859375,74.71749877929688,75.11499786376953,142333600,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-05-07,73.32388305664062,75.93499755859375,76.2925033569336,75.49250030517578,75.80500030517578,115215200,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-05-08,75.06912231445312,77.53250122070312,77.5875015258789,76.07250213623047,76.41000366210938,133838400,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-05-11,76.2503662109375,78.75250244140625,79.26249694824219,76.80999755859375,77.0250015258789,145946400,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-05-12,75.37897491455078,77.85250091552734,79.92250061035156,77.72750091552734,79.4574966430664,162301200,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-05-13,74.46882629394531,76.9124984741211,78.98750305175781,75.80249786376953,78.0374984741211,200622400,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-05-14,74.92631530761719,77.38500213623047,77.44750213623047,75.38249969482422,76.12750244140625,158929200,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-05-15,74.48336029052734,76.92749786376953,76.9749984741211,75.05249786376953,75.0875015258789,166348400,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-05-18,76.2382583618164,78.73999786376953,79.125,77.58000183105469,78.2925033569336,135178400,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-05-19,75.79773712158203,78.28500366210938,79.62999725341797,78.25250244140625,78.75749969482422,101729600,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-05-20,77.27184295654297,79.80750274658203,79.87999725341797,79.12999725341797,79.16999816894531,111504800,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-05-21,76.69575500488281,79.2125015258789,80.22250366210938,78.96749877929688,79.66500091552734,102688800,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-05-22,77.18958282470703,79.72250366210938,79.80750274658203,78.8375015258789,78.94249725341797,81803200,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-05-26,76.66671752929688,79.18250274658203,81.05999755859375,79.125,80.875,125522000,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-05-27,77.000732421875,79.52749633789062,79.67749786376953,78.27249908447266,79.03500366210938,112945200,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-05-28,77.03463745117188,79.5625,80.86000061035156,78.90750122070312,79.19249725341797,133560800,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-05-29,76.95960235595703,79.48500061035156,80.2874984741211,79.11750030517578,79.8125,153532400,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-06-01,77.90604400634766,80.4625015258789,80.5875015258789,79.30249786376953,79.4375,80791200,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-06-02,78.26670837402344,80.83499908447266,80.86000061035156,79.73249816894531,80.1875,87642800,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-06-03,78.69755554199219,81.27999877929688,81.55000305175781,80.57499694824219,81.16500091552734,104491200,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-06-04,78.01980590820312,80.58000183105469,81.40499877929688,80.19499969482422,81.09750366210938,87560400,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-06-05,80.24189758300781,82.875,82.9375,80.80750274658203,80.8375015258789,137250400,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-06-08,80.71631622314453,83.36499786376953,83.4000015258789,81.83000183105469,82.5625,95654400,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-06-09,83.2651596069336,85.99749755859375,86.40249633789062,83.00250244140625,83.03500366210938,147712400,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-06-10,85.40738677978516,88.20999908447266,88.69249725341797,86.52249908447266,86.9749984741211,166651600,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-06-11,81.30692291259766,83.9749984741211,87.76499938964844,83.87000274658203,87.32749938964844,201662400,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-06-12,82.00889587402344,84.69999694824219,86.94999694824219,83.55500030517578,86.18000030517578,200146000,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-06-15,83.02313232421875,85.74749755859375,86.41999816894531,83.1449966430664,83.3125,138808800,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-06-16,85.22344207763672,88.0199966430664,88.30000305175781,86.18000030517578,87.86499786376953,165428800,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-06-17,85.10479736328125,87.89749908447266,88.8499984741211,87.77249908447266,88.7874984741211,114406400,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-06-18,85.13871002197266,87.93250274658203,88.36250305175781,87.30500030517578,87.85250091552734,96820400,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-06-19,84.65216827392578,87.43000030517578,89.13999938964844,86.2874984741211,88.66000366210938,264476000,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-06-22,86.86698913574219,89.71749877929688,89.86499786376953,87.7874984741211,87.83499908447266,135445200,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-06-23,88.72113800048828,91.63249969482422,93.09500122070312,90.56749725341795,91.0,212155600,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
